title,link,source,price,rating,reviews,delivery,extensions
"F1 RACE - EXTREME PRE WORKOUT, 30 SERVING",https://musclescience.in/product/f1-race-extreme-pre-workout-30-serving/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECJ0L&usg=AOvVaw1kuUHPavz5B3qAIJhQnvFz,Muscle Science,₹999.00,,,Free delivery,
F1 23 Champions Edition - Sony PlayStation 5 & PlayStation 4,https://store.playstation.com/en-in/product/EP0006-PPSA09802_00-F123DELUXEDITION/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECKkL&usg=AOvVaw0rRyXFKGmgjSJNLH62S7fj,PlayStation Store,"₹5,999.00",,,Free delivery,
Men's PUMA Mercedes F1 Statement Graphic T-shirt in Black size L,http://www.totalsf.in/products/puma-mercedes-f1-statement-graphic-men-s-t-shirt-12163091&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECLUL&usg=AOvVaw0J-wLU40ulO_dTyD4RB_DN,Total Sport & Fitness,"₹1,500.00",,,+Delivery,
F1 Racing Car 3,https://www.walldecore.in/f1-racing-car-3&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECMIL&usg=AOvVaw0gP59qp_5F8NddUbPvAnBa,wall decore,₹650.00,,,Free delivery,
Men's PUMA Mercedes AMG Petronas F1 All Over Print Regular Fit T-Shirt in Black ...,https://in.puma.com/in/en/pd/mercedes-amg-petronas-f1-all-over-print-mens-regular-fit-t-shirt/538480%3Fsize%3D0120%26swatch%3D01&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECNAL&usg=AOvVaw0WVILVGXvlIHVI8rtUqfhb,PUMA India,"₹2,279.00",,,Free delivery,SALE
Puma Mercedes AMG Patronas F1 Motorsports A3ROCAT Unisex Black Casual Shoes ...,https://www.nykaaman.com/puma-mapf1-a3rocat-unisex-black-casual-shoes/p/2808574%3Fptype%3Dproduct%26skuId%3D2807771&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECNwL&usg=AOvVaw0bdzzRPRY42YmE5jwM2ULV,Nykaaman.com,"₹5,499.00",,,Free delivery,
F1 23 PC,https://e2zstore.com/product/f1-23-pc/&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECOgL&usg=AOvVaw0wgf05SGV6er0LBVoAGz1d,e2zSTORE,"₹3,499.00",,,Free delivery,
F1 | Carlos Sainz HQ 2022 Ed. Framed Poster(Wall Art) Basic (8 x 12 inches ...,https://www.lamron.co/products/carlos-sainz-hq-2022-ed%3Fvariant%3D43492004462809%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoqvqEVo84VrPpj9yzDWXw2cox6092Yd6OhpDPH7KSuceNaTeQYGhNg&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECPQL&usg=AOvVaw3TbruN4hnhTlARcBoxIkiv,Lamron,₹399.00,,,Free delivery,
Bburago 1:43 2020 Ferrari Racing SF1000 Formula One F1 5 Sebastian Vettel Sport ...,https://www.amazon.in/Model-Car-Sport-Ferrari-Sebastian/dp/B08W4LTYGB%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA1BE4CFIAAE12Y&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECIEM&usg=AOvVaw2H1xFjYxTW_k4TpvFOXSWg,Amazon.in,"₹2,708.00",5.0,39,Free delivery,
2023 F1 Formula 1 Large Logo Baseball Cap (Black),https://hatstore.co.in/large-logo-baseball-cap-black-red-adjustable-formula-one%3Futm_source%3Dgoogle%26utm_medium%3Dsurfaces%26srsltid%3DAfmBOor2tqD2LCaPyPjehiLknH1f--vJjSE4s_TgWgrU-jcCMu6jxOROyXY&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECI4M&usg=AOvVaw0fm509XK6_Dp7lAQVj1orz,Hatstore.co.in,"₹2,500.00",5.0,5,₹790.00 delivery,
