title,link,source,price,rating,reviews,delivery,extensions
Men's PUMA Mercedes AMG Petronas F1 All Over Print Regular Fit T-Shirt in Black ...,https://in.puma.com/in/en/pd/mercedes-amg-petronas-f1-all-over-print-mens-regular-fit-t-shirt/538480%3Fsize%3D0120%26swatch%3D01&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECMQL&usg=AOvVaw3uGitDvuRwBh1sPc6lC3zW,PUMA India,"₹2,279.00",,,Free delivery,SALE
Bburago 1:43 2020 Ferrari Racing SF1000 Formula One F1 5 Sebastian Vettel Sport ...,https://www.amazon.in/Model-Car-Sport-Ferrari-Sebastian/dp/B08W4LTYGB%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA1BE4CFIAAE12Y&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECNEL&usg=AOvVaw2h_mXXpTlx-2Mdf7QgavOm,Amazon.in,"₹2,708.00",5.0,39,Free delivery,
F1 | Max Verstappen World Champion Framed Poster(Wall Art) Basic (8 x 12 inches ...,https://www.lamron.co/products/max-verstappen-world-champion%3Fvariant%3D43492372873433%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOopFrrL32_wconfa2bOaJ5r2mrr5x06bgKXRswiK881cs0niZuIK8d0&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECN0L&usg=AOvVaw1qf05q5ZPII1W7EmRBN7EI,Lamron,₹499.00,,,Free delivery,
2023 F1 Formula 1 Large Logo Baseball Cap (Black),https://hatstore.co.in/large-logo-baseball-cap-black-red-adjustable-formula-one%3Futm_source%3Dgoogle%26utm_medium%3Dsurfaces%26srsltid%3DAfmBOoq_LSjRJBLaD8A9ltkCY1VkqKiv7sREanmqFu0pCGh8C92c4F2Lw0U&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECOoL&usg=AOvVaw1stKvSaFGdTnlNUkGS6VN-,Hatstore.co.in,"₹2,500.00",5.0,5,₹790.00 delivery,
F1 Racing Car,https://www.toysrus.in/catalogredirect%3Fq%3DWEC-2020-049%26srsltid%3DAfmBOooByTexEkoIgmDtdTYen5hXkJot7u4PG511JvnTmX6Jb9pmzqBzgNw&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECPsL&usg=AOvVaw2zKBAPkJU8t2W_kBt8ZcJ2,ToysRus,"₹1,139.00",,,Free delivery by 16 Aug and free 30-day returns,"₹1,000 OFF"
Puma Mercedes AMG Petronas Motorsports F1 A3ROCAT Mens Black Sneakers (Black) At ...,http://www.myntra.com/Casual-Shoes/PUMA-Motorsport/PUMA-Motorsport-Unisex-Black-Mercedes-AMG-Petronas-F1-A3ROCAT-Sneakers/19103904/buy&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECIkM&usg=AOvVaw2YtYDuPUhr4GrEkRBQTEIA,Myntra,"₹4,949.00",5.0,1,Free delivery,
F1 - On The Go!,https://printmyposter.in/products/f1-on-the-go%3Fvariant%3D44590228111653%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoq4khMqF7O1kewXJ8BXL201dskowlRPt9DyRnVtpi7G-jyOdlQfJII&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQgOUECJUM&usg=AOvVaw3J2qO4czPQ-uhodZz0DR3g,PrintMyPoster,₹199.00,,,₹70.00 delivery,
MaistoTech 582356 Red Bull F1 2023 1:24 RC Einsteiger Modellauto,https://www.conrad.com/p/-2895694%3FWT.srch%3D1%26vat%3Dtrue%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dshopping%26srsltid%3DAfmBOopDgkx6n-xN2X4cojFpyovwl8J7YoV43eVRAlp_cGGXxuCRJF3n9vA&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECKEM&usg=AOvVaw0vDt13rvO3EuW5RvZihRET,Conrad Electronic International,"₹4,014.00",,,"₹5,474.89 delivery",
PUMA Motorsport Unisex Black Mercedes F1 Cat Sneakers (6) by Myntra,https://www.nykaa.com/puma-mercedes-amg-petronas-f1-ridge-cat-black-sneakers/p/8049706%3Fptype%3Dproduct%26skuId%3D8049302%26srsltid%3DAfmBOorWdvL1UsMvYUdgadvLM2RNy1sGbpYClr_6CG3oC9fGpMfGF5s9QfU&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECK4M&usg=AOvVaw0HFs56ND62PgEtVA0o-WNK,Nykaa.com,"₹4,399.00",,,Free delivery by 15 Aug and free 15-day returns,
PUMA Motorsport Unisex Black Mercedes AMG Petronas F1 A3ROCAT Sneakers (9) by Myntra,http://www.myntra.com/Casual-Shoes/PUMA-Motorsport/PUMA-Motorsport-Unisex-Black-Mercedes-AMG-Petronas-F1-A3ROCAT-Sneakers/19103904/buy&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwiL4tLO49GAAxXTjJUCHfqMCBEQguUECLsM&usg=AOvVaw223_bh9Hdm02vwMyriQE5h,Myntra,"₹4,949.00",,,Free delivery,
